

Region,Protest
Delhi,100
Andaman and Nicobar Islands,90
Meghalaya,73
Mizoram,70
Karnataka,59
Haryana,53
Arunachal Pradesh,53
Goa,52
Nagaland,51
Sikkim,47
Uttarakhand,45
Tamil Nadu,44
Jammu and Kashmir,44
Maharashtra,42
Puducherry,40
Kerala,39
Jharkhand,38
Telangana,37
Tripura,37
Manipur,36
Assam,34
Daman and Diu,34
West Bengal,33
Dadra and Nagar Haveli,28
Uttar Pradesh,27
Chhattisgarh,26
Punjab,26
Chandigarh,25
Andhra Pradesh,24
Odisha,23
Himachal Pradesh,23
Gujarat,23
Rajasthan,17
Bihar,15
Madhya Pradesh,13
Lakshadweep,
